family_name,familyName,kingdomName,phylumName,className,orderName
Anisophylleaceae,ANISOPHYLLEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Annonaceae,ANNONACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Aphloiaceae,APHLOIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES
Apiaceae,APIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES
Apocynaceae,APOCYNACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES
Aponogetonaceae,APONOGETONACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Aquifoliaceae,AQUIFOLIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES
Araceae,ARACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Araliaceae,ARALIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES
Araucariaceae,ARAUCARIACEAE,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES
Arecaceae,ARECACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES
Argophyllaceae,ARGOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Aristolochiaceae,ARISTOLOCHIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PIPERALES
Asparagaceae,ASPARAGACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Asphodelaceae,ASPHODELACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Aspleniaceae,ASPLENIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES
Asteliaceae,ASTELIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Asteraceae,ASTERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Asteropeiaceae,ASTEROPEIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Atherospermataceae,ATHEROSPERMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Balanopaceae,BALANOPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Balanophoraceae,BALANOPHORACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES
Balsaminaceae,BALSAMINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Barbeuiaceae,BARBEUIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Barbeyaceae,BARBEYACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES
Begoniaceae,BEGONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Berberidaceae,BERBERIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES
Betulaceae,BETULACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES
Bignoniaceae,BIGNONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Bixaceae,BIXACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Bonnetiaceae,BONNETIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Boraginaceae,BORAGINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES
Brassicaceae,BRASSICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Bromeliaceae,BROMELIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Brunelliaceae,BRUNELLIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Bruniaceae,BRUNIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRUNIALES
Burmanniaceae,BURMANNIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,DIOSCOREALES
Burseraceae,BURSERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES
Butomaceae,BUTOMACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Buxaceae,BUXACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BUXALES
Byblidaceae,BYBLIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Cabombaceae,CABOMBACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES
Cactaceae,CACTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Calceolariaceae,CALCEOLARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Calophyllaceae,CALOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Calycanthaceae,CALYCANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Calyceraceae,CALYCERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Campanulaceae,CAMPANULACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Campynemataceae,CAMPYNEMATACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Canellaceae,CANELLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CANELLALES
Cannabaceae,CANNABACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES
Capparaceae,CAPPARACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Caprifoliaceae,CAPRIFOLIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES
Cardiopteridaceae,CARDIOPTERIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARDIOPTERIDALES
Caricaceae,CARICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Caryocaraceae,CARYOCARACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Caryophyllaceae,CARYOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Casuarinaceae,CASUARINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES
Celastraceae,CELASTRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES
Centroplacaceae,CENTROPLACACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Cephalotaceae,CEPHALOTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Ceratophyllaceae,CERATOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CERATOPHYLLALES
Cercidiphyllaceae,CERCIDIPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Chloranthaceae,CHLORANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CHLORANTHALES
Chrysobalanaceae,CHRYSOBALANACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Cistaceae,CISTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Cleomaceae,CLEOMACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Clethraceae,CLETHRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Clusiaceae,CLUSIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Colchicaceae,COLCHICACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Columelliaceae,COLUMELLIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRUNIALES
Combretaceae,COMBRETACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
Commelinaceae,COMMELINACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES
Connaraceae,CONNARACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Convolvulaceae,CONVOLVULACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES
Coriariaceae,CORIARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Cornaceae,CORNACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Corynocarpaceae,CORYNOCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Costaceae,COSTACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Crassulaceae,CRASSULACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Crossosomataceae,CROSSOSOMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES
Crypteroniaceae,CRYPTERONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
Ctenolophonaceae,CTENOLOPHONACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Cucurbitaceae,CUCURBITACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES
Cunoniaceae,CUNONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Cupressaceae,CUPRESSACEAE,PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES
Curtisiaceae,CURTISIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Cyatheaceae,CYATHEACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,CYATHEALES
Cycadaceae,CYCADACEAE,PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES
Cyclanthaceae,CYCLANTHACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES
Cymodoceaceae,CYMODOCEACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Cyperaceae,CYPERACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Cyrillaceae,CYRILLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Daphniphyllaceae,DAPHNIPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Dasypogonaceae,DASYPOGONACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES
Degeneriaceae,DEGENERIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Dennstaedtiaceae,DENNSTAEDTIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES
Dichapetalaceae,DICHAPETALACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Didiereaceae,DIDIEREACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Dilleniaceae,DILLENIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES
Dioncophyllaceae,DIONCOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Dioscoreaceae,DIOSCOREACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,DIOSCOREALES
Dipentodontaceae,DIPENTODONTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HUERTEALES
Dipterocarpaceae,DIPTEROCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Dirachmaceae,DIRACHMACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES
Droseraceae,DROSERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Ebenaceae,EBENACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Elaeagnaceae,ELAEAGNACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES
Elaeocarpaceae,ELAEOCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Elatinaceae,ELATINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Ephedraceae,EPHEDRACEAE,PLANTAE,TRACHEOPHYTA,GNETOPSIDA,EPHEDRALES
Equisetaceae,EQUISETACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,EQUISETALES
Ericaceae,ERICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Eriocaulaceae,ERIOCAULACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Erythroxylaceae,ERYTHROXYLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Escalloniaceae,ESCALLONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ESCALLONIALES
Eucommiaceae,EUCOMMIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GARRYALES
Euphorbiaceae,EUPHORBIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Euphroniaceae,EUPHRONIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Eupomatiaceae,EUPOMATIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Eupteleaceae,EUPTELEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES
Fabaceae,FABACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES
Fagaceae,FAGACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES
Fouquieriaceae,FOUQUIERIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Francoaceae,FRANCOACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES
Frankeniaceae,FRANKENIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Garryaceae,GARRYACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GARRYALES
Gelsemiaceae,GELSEMIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES
Gentianaceae,GENTIANACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES
Geraniaceae,GERANIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES
Gerrardinaceae,GERRARDINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HUERTEALES
Gesneriaceae,GESNERIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Ginkgoaceae,GINKGOACEAE,PLANTAE,TRACHEOPHYTA,GINKGOOPSIDA,GINKGOALES
Gleicheniaceae,GLEICHENIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,GLEICHENIALES
Gnetaceae,GNETACEAE,PLANTAE,TRACHEOPHYTA,GNETOPSIDA,GNETALES
Gomortegaceae,GOMORTEGACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Goodeniaceae,GOODENIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Goupiaceae,GOUPIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Grossulariaceae,GROSSULARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Gunneraceae,GUNNERACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GUNNERALES
Gyrostemonaceae,GYROSTEMONACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Haemodoraceae,HAEMODORACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES
Haloragaceae,HALORAGACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Hamamelidaceae,HAMAMELIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Hanguanaceae,HANGUANACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES
Heliconiaceae,HELICONIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Helwingiaceae,HELWINGIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,AQUIFOLIALES
Hernandiaceae,HERNANDIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Himantandraceae,HIMANTANDRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Huaceae,HUACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES
Humiriaceae,HUMIRIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Hydatellaceae,HYDATELLACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NYMPHAEALES
Hydrangeaceae,HYDRANGEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Hydrocharitaceae,HYDROCHARITACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Hydroleaceae,HYDROLEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES
Hydrostachyaceae,HYDROSTACHYACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Hymenophyllaceae,HYMENOPHYLLACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,HYMENOPHYLLALES
Hypericaceae,HYPERICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Hypoxidaceae,HYPOXIDACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Icacinaceae,ICACINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ICACINALES
Iridaceae,IRIDACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ASPARAGALES
Irvingiaceae,IRVINGIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Isoetaceae,ISOETACEAE,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,ISOETALES
Iteaceae,ITEACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAXIFRAGALES
Ixonanthaceae,IXONANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Juglandaceae,JUGLANDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES
Juncaceae,JUNCACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES
Juncaginaceae,JUNCAGINACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES
Kewaceae,KEWACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Kirkiaceae,KIRKIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES
Koeberliniaceae,KOEBERLINIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Lacistemataceae,LACISTEMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Lamiaceae,LAMIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Lauraceae,LAURACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Lecythidaceae,LECYTHIDACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Lentibulariaceae,LENTIBULARIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Lepidobotryaceae,LEPIDOBOTRYACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES
Liliaceae,LILIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Linaceae,LINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Linderniaceae,LINDERNIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Lindsaeaceae,LINDSAEACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES
Loasaceae,LOASACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES
Loganiaceae,LOGANIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES
Loranthaceae,LORANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES
Lowiaceae,LOWIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Lycopodiaceae,LYCOPODIACEAE,PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,LYCOPODIALES
Lythraceae,LYTHRACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
Magnoliaceae,MAGNOLIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Malpighiaceae,MALPIGHIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES
Malvaceae,MALVACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Marantaceae,MARANTACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Marattiaceae,MARATTIACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,MARATTIALES
Marcgraviaceae,MARCGRAVIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES
Marsileaceae,MARSILEACEAE,PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SALVINIALES
Martyniaceae,MARTYNIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES
Melanthiaceae,MELANTHIACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES
Melastomataceae,MELASTOMATACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
Meliaceae,MELIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES
Menispermaceae,MENISPERMACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES
Menyanthaceae,MENYANTHACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES
Metteniusaceae,METTENIUSACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,METTENIUSALES
Molluginaceae,MOLLUGINACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Monimiaceae,MONIMIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES
Montiaceae,MONTIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES
Montiniaceae,MONTINIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES
Moraceae,MORACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES
Moringaceae,MORINGACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BRASSICALES
Muntingiaceae,MUNTINGIACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES
Musaceae,MUSACEAE,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES
Myodocarpaceae,MYODOCARPACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES
Myricaceae,MYRICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES
Myristicaceae,MYRISTICACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES
Myrtaceae,MYRTACEAE,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES
